JH_CALBODY,JH_INVBASDOC,LUHAO,PK_INSPECTIONCHECK,JH_INVNAME,JH_INSPECTIONRELAPLAN,JH_INSPECTIONRELAPLANNAME,JH_INSPECTIONPLAN,8区平均μm,Al%,As%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,Cu+Ni,C级,D级,Mo%,N%,Ni%,P+S%,Sn%,Ti夹杂,Ti夹杂物μm,备注,编号,脆性MAXμm,断面收缩率%,复核,硅含量%,过热级,基本组织,基体组织,晶粒度级,抗拉强度MPa,来源,磷含量%,硫含量%,炉号,锰含量%,偏析级,破断力KN,全脱碳μm,日期,JY_TIME,实测直径mm,索氏体率%,碳当量,碳当量%,碳含量%,椭圆度mm,网状组织级别级,网状组织级别级小于1,显微组织,心部马氏体岛级别级,样品来源,最大纵向横向夹杂尺寸μm,最深μm,CHECK_HG_FLAG,NASSISTNUM,NNUM,DSL
1001A110000000001H8R,0001A11000000000JJN3,11,MD0000000005IVC7W0Y1,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.025,0.01,,,0.5,0.5,0.002,,0.002,0.035,,0,,,264,,44,崔恒伟,0.21,1,,S+微量Fe3C+少量P,8.5,1119,质量中心,0.016,0.019,1931275,0.53,2,26.78,0,2019/2/13,2019/2/13 0:00,5.52,90,,,0.829,0.04,0,,,0,,1,0,合格,1934653.11,1025995151,3.873906271
1001A110000000001H8R,1001A1100000000CP7W8,12,MD0000000005IVC7UL69,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.033,0.007,,,0.5,0.5,0.001,,0.002,0.02,,0,,,66,,46.9,崔恒伟,0.21,1,,S+微量F+少量P,8.5,1036,质量中心,0.01,0.01,1930682,0.54,1,24.71,0,2019/2/10,2019/2/10 0:00,5.51,90,,,0.727,0.05,0,,,0,,1,0,合格,22331.6,962891,0
1001A110000000001H8R,0001A11000000000JJN3,13,MD0000000005IVC85COC,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.028,0.009,,,0.5,0.5,0.002,,0.002,0.029,,0,,,44,,45.1,崔恒伟,0.19,1,,S+微量Fe3C+少量P,8.5,1105,质量中心,0.011,0.018,1931776,0.52,2,26.24,0,2019/3/1,2019/3/1 0:00,5.5,90,,,0.825,0.08,0,,,0,,1,0,合格,2059285.39,1120783835,4.185773687
1001A110000000001H8R,0001B21000000004ZBB3,14,MD0000000005IVC8FIMK,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.016,0.009,,,0.5,0.5,0.002,,0.002,0.024,,0,,,472,,46.3,崔恒伟,0.22,1,,S+微量Fe3C+少量P,8.5,1170,质量中心,0.016,0.008,A911386,0.53,1,28.29,0,2019/3/17,2019/3/17 0:00,5.55,90,,,0.835,0.12,0,,,0,,1,0,合格,695741.04,184808285,2.682822988
1001A110000000001H8R,0001A11000000000JJN3,15,MD0000000005IVC85UR8,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.024,0.009,,,0.5,0.5,0.002,,0.002,0.022,,0,,,131,,48.5,崔恒伟,0.21,1,,S+微量Fe3C+少量P,8.5,1155,质量中心,0.012,0.01,1931958,0.52,2,28.03,0,2019/3/1,2019/3/1 0:00,5.56,90,,,0.828,0.09,0,,,0,,1,0,合格,1744735.03,924053250,4.020498287
1001A110000000001H8R,0001B21000000004ZBB3,16,MD0000000005IVC85BGZ,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.013,0.008,,,0.5,0.5,0.002,,0.002,0.023,,0,,,7,,47.1,崔恒伟,0.2,1,,S+微量Fe3C+少量P,8.5,1132,质量中心,0.014,0.009,A921022,0.5,1,27.38,0,2019/3/1,2019/3/1 0:00,5.55,90,,,0.826,0.06,0,,,0,,1,0,合格,1411327.99,729465328,2.98614795
1001A110000000001H8R,1001A1100000000CP7W8,17,MD0000000005JQ8B8MAP,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,10,0.001,,0.5,0.5,0.035,0.013,,,0.5,0.5,0.001,,0.002,0.017,,0,,,55,,50.1,崔恒伟,0.2,1,,S+微量F+少量P,9.5,1060,质量中心,0.007,0.01,1829572,0.52,2,24.74,0,2018/12/2,2018/12/2 0:00,5.45,90,,,0.73,0.13,0,,,0,,1,46,合格,1261940.76,457514572,1.37327829
1001A110000000001H8R,1001A1100000000CP7W8,18,MD0000000005IVLFPH0E,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.018,0.009,,,0.5,0.5,0.001,,0.002,0.021,,0,,,659,,51.1,崔恒伟,0.21,1,,S+微量F+少量P,8.5,1025,质量中心,0.01,0.011,1930466,0.51,2,24.62,0,2019/1/25,2019/1/25 0:00,5.53,90,,,0.736,0.18,0,,,0,,1,0,合格,150723,98062927,1.506711323
1001A110000000001H8R,0001A11000000000JJN6,19,MD0000000005JQ8BH76Q,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.001,,0.5,0.5,0.02,0.011,0.033,,0.5,0.5,0.003,0.006,0.002,0.018,0.001,,0,,740,5,45,崔恒伟,0.19,1,,,9.5,1129,,0.012,0.006,1826382,0.52,2,26.83,0,2018/8/19,2018/8/19 0:00,5.5,90,,0.836,0.8,0.1,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,927150.23,641043132,4.503100607
1001A110000000001H8R,1001A1100000000CP7W8,20,MD0000000005IVC7ULEX,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.026,0.007,,,0.5,0.5,0.001,,0.002,0.019,,0,,,68,,46.9,崔恒伟,0.2,1,,S+微量F+少量P,8.5,1026,质量中心,0.009,0.01,1930684,0.52,1,24.22,0,2019/2/10,2019/2/10 0:00,5.48,90,,,0.728,0.05,0,,,0,,1,0,合格,25528.42,1601121,0
1001A110000000001H8R,0001A11000000000JJN3,21,MD0000000005IVC85VB8,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.03,0.01,,,0.5,0.5,0.002,,0.002,0.029,,0,,,149,,47.4,崔恒伟,0.21,1,,S+微量Fe3C+少量P,8.5,1138,质量中心,0.014,0.015,1931945,0.53,1,27.43,0,2019/3/1,2019/3/1 0:00,5.54,90,,,0.833,0.07,0,,,0,,1,0,合格,864641.49,483495076,4.527839427
1001A110000000001H8R,1001A1100000000CP7W8,22,MD0000000005IVLFO8FY,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.029,0.009,,,0.5,0.5,0.001,,0.002,0.018,,0,,,611,,40.9,崔恒伟,0.2,1,,S+微量F+少量P,8.5,1043,质量中心,0.009,0.009,1930702,0.53,2,25.14,0,2019/1/23,2019/1/23 0:00,5.54,90,,,0.731,0.18,0,,,0,,1,0,合格,1212135.85,563461533,1.333087871
1001A110000000001H8R,1001A1100000000CP7W8,23,MD0000000005IVC7UMLM,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.032,0.008,,,0.5,0.5,0.001,,0.002,0.023,,0,,,107,,45.4,崔恒伟,0.21,1,,S+微量F+少量P,8.5,967,质量中心,0.009,0.014,1930688,0.53,2,25.15,0,2019/2/10,2019/2/10 0:00,5.52,90,,,0.722,0.07,0,,,0,,1,0,合格,742815.73,330164949,1.179799577
1001A110000000001H8R,0001B21000000004ZBB3,24,MD0000000005IVC8FHAU,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,4,0.001,,0.5,0.5,0.021,0.008,,,0.5,0.5,0.002,,0.002,0.023,,0,,,426,,46.4,崔恒伟,0.19,1,,S+微量Fe3C+少量P,8.5,1184,质量中心,0.015,0.008,A911389,0.54,1,28.13,0,2019/3/17,2019/3/17 0:00,5.5,90,,,0.829,0.08,0,,,0,,1,30,合格,66316.94,14235524,1.541752435
1001A110000000001H8R,1001A110000000009MGI,25,MD0000000005IY2YLYAM,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,4,0.001,,0.5,0.5,0.012,0.009,0.023,,0.5,0.5,0.001,0.006,0.002,0.017,0.001,,0,,470,5,46.2,崔恒伟,0.2,1,,,8.5,1030,,0.01,0.007,A920414,0.53,1,24.74,0,2019/2/14,2019/2/14 0:00,5.53,90,,0.753,0.714,0.06,0,,S+微量F+少量P,0,质量中心,1,36,合格,412281.61,207123295,1.405969904
1001A110000000001H8R,0001B21000000004ZBB3,26,MD0000000005JQ8BDZ5Y,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.02,0.012,,,0.5,0.5,0.002,,0.002,0.028,,0,,,500,,45.6,崔恒伟,0.19,1,,S+微量Fe3C+少量P,8.5,1207,质量中心,0.014,0.014,A826785,0.53,1,29.31,0,2018/12/21,2018/12/21 0:00,5.56,90,,,0.842,0.11,0,,,0,,1,0,合格,1918152.29,693792820,0.754723671
1001A110000000001H8R,1001A1100000000CP7W8,27,MD0000000005IVLFO74D,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.022,0.015,,,0.5,0.5,0.001,,0.002,0.02,,0,,,584,,47,崔恒伟,0.18,1,,S+微量F+少量P,8.5,1030,质量中心,0.008,0.012,1930675,0.52,2,24.64,0,2019/1/23,2019/1/23 0:00,5.52,90,,,0.72,0.12,0,,,0,,1,0,合格,63061.99,40773427,2.07121684
1001A110000000001H8R,0001A11000000000JJN3,28,MD0000000005JQ8B4Y7Y,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.015,0.019,,,0.5,0.5,0.002,,0.002,0.036,,0,,,1616,,45.4,    崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1144,质量中心,0.019,0.017,1838981,0.52,2,26.57,0,2018/10/28,2018/10/28 0:00,5.44,90,,,0.823,0.07,0,,,0,,1,0,合格,1873862.826,947913877,2.483701018
1001A110000000001H8R,1001A110000000009MGI,29,MD0000000005JQ8BNETH,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.011,0.013,0.026,,0.5,0.5,0.001,0.006,0.002,0.017,0.002,,0,,1528,5,52.8,崔恒伟,0.19,1,,,9.5,1036,,0.009,0.008,A825942,0.52,2,24.87,0,2018/10/28,2018/10/28 0:00,5.53,90,,0.767,0.731,0.06,0,,S+微量F+少量P,0,质量中心,1,0,合格,2731021.01,2099905209,4.204662887
1001A110000000001H8R,1001A110000000009MGI,30,MD0000000005IY2YLY5Q,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.007,0.019,,0.5,0.5,0.001,0.006,0.002,0.016,0.001,,0,,466,5,45.7,崔恒伟,0.21,1,,,8.5,1005,,0.009,0.007,A920800,0.52,1,24.05,0,2019/2/14,2019/2/14 0:00,5.52,90,,0.748,0.712,0.13,0,,S+微量F+少量P,0,质量中心,1,0,合格,61096.99,32736199,1.659642363
1001A110000000001H8R,0001A11000000000JJN3,31,MD0000000005IVC8HZWJ,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,3,0.001,,0.5,0.5,0.021,0.01,,,0.5,0.5,0.002,,0.002,0.02,,0,,,554,,47.6,崔恒伟,0.18,1,,S+微量Fe3C+少量P,8.5,1127,质量中心,0.01,0.01,1932644,0.52,2,27.08,0,2019/3/21,2019/3/21 0:00,5.53,90,,,0.82,0.06,0,,,0,,1,24,合格,108606.13,21952898,9.637227232
1001A110000000001H8R,0001A11000000000JJMI,32,MD0000000005JQ8B9IZX,青钢C92D2E,IR0000000005ITOC3001,盘条C90（001）,MD0000000005IS3HT4JC,9,0.004,,0.5,0.5,0.19,0.009,,0.034,0.5,0.5,0.001,0.006,0.025,0.02,0.003,,0,,886,5,41.2,崔恒伟,0.19,1,,,9.5,1219,,0.016,0.004,1833889,0.4,2,30.12,0,2018/5/15,2018/5/15 0:00,5.61,90,1.03020833,,0.917,0.16,0,,S+微量Fe3C+少量P,0,质量中心,1,39,合格,482467.08,312974429,5.729764173
1001A110000000001H8R,1001A110000000009MGI,33,MD0000000005JQ8BNMTH,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.013,0.025,,0.5,0.5,0.001,0.006,0.002,0.018,0.002,,0,,232,5,50.9,崔恒伟,0.2,1,,,9.5,1050,,0.009,0.009,A826731,0.52,1,25.3,0,2018/12/8,2018/12/8 0:00,5.54,90,,0.755,0.719,0.09,0,,S+微量F+少量P,0,质量中心,1,0,合格,1067615.2,494677247,0.999944427
1001A110000000001H8R,1001A110000000009MGI,34,MD0000000005IY2YLVPR,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.008,0.012,0.022,,0.5,0.5,0.001,0.006,0.002,0.018,0.002,,0,,403,5,45.2,崔恒伟,0.2,1,,,8.5,970,,0.008,0.01,A920219,0.53,2,23.43,0,2019/1/11,2019/1/11 0:00,5.54,90,,0.75,0.711,0.2,0,,S+微量F+少量P,0,质量中心,1,0,合格,818770.46,452351536,1.655286133
1001A110000000001H8R,1001A110000000009MGI,35,MD0000000005IY2YLT2F,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.012,0.011,0.025,,0.5,0.5,0.001,0.006,0.002,0.022,0.002,,0,,281,5,45.2,崔恒伟,0.19,1,,,8.5,1051,,0.013,0.009,A920038,0.51,2,25.34,0,2019/1/10,2019/1/10 0:00,5.54,90,,0.763,0.73,0.16,0,,S+微量F+少量P,0,质量中心,1,0,合格,98666.51,47251700,1.055332341
1001A110000000001H8R,1001A110000000009MGI,36,MD0000000005IY2YLS47,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.009,0.009,0.02,,0.5,0.5,0.001,0.006,0.002,0.017,0.002,,0,,253,5,46.3,崔恒伟,0.2,1,,,8.5,1033,,0.007,0.01,A910068,0.53,2,24.91,0,2019/1/10,2019/1/10 0:00,5.54,90,,0.752,0.713,0.18,0,,S+微量F+少量P,0,质量中心,1,0,合格,524251.52,251714498,1.088703012
1001A110000000001H8R,1001A110000000009MGI,37,MD0000000005JQ8BNI4T,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.014,0.017,0.033,,0.5,0.5,0.001,0.006,0.002,0.021,0.002,,0,,607,5,52.4,崔恒伟,0.19,1,,,9.5,1060,,0.011,0.01,A816433,0.53,2,25.93,0,2018/11/18,2018/11/18 0:00,5.58,90,,0.74,0.701,0.22,0,,S+微量F+少量P,0,质量中心,1,0,合格,410279.29,197146747,1.297508819
1001A110000000001H8R,1001A110000000009MGI,38,MD0000000005IY2YLXVY,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.016,0.009,0.027,,0.5,0.5,0.001,0.006,0.002,0.02,0.001,,0,,458,5,49.6,崔恒伟,0.2,1,,,8.5,1085,,0.01,0.01,A910505,0.51,1,25.98,0,2019/2/14,2019/2/14 0:00,5.52,90,,0.751,0.718,0.04,0,,S+微量F+少量P,0,质量中心,1,0,合格,234745.4,115372395,1.249888493
1001A110000000001H8R,0001A11000000000JJMU,39,MD0000000005IY2YMCNM,青钢C72D2,IR0000000005ITOC31EC,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.017,0.007,0.026,,0.5,0.5,0.001,0.006,0.002,0.013,0.001,,0,,128,5,45.9,崔恒伟,0.2,1,,,8.5,1038,,0.007,0.006,1930840,0.51,1,24.66,0,2019/2/10,2019/2/10 0:00,5.5,90,,0.75,0.717,0.11,,0,S+微量F+少量P,0,质量中心,1,0,合格,14148.99,9691350,2.812571008
1001A110000000001H8R,0001B21000000004ZBB3,40,MD0000000005JQ8BDE1V,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.019,0.009,,,0.5,0.5,0.001,,0.019,0.023,,0,,,354,,41.8,吕青,0.19,1,,S+微量Fe3C+少量P,9.5,1116,质量中心,0.012,0.011,A811232,0.51,1,27.19,0,2018/4/10,2018/4/10 0:00,5.57,90,,,0.831,0.19,0,,,0,,1,0,合格,2607757.503,1952831911,5.557784423
1001A110000000001H8R,0001A11000000000JJN6,41,MD0000000005JQ8BGC9Q,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.004,,0.5,0.5,0.017,0.008,0.043,,0.5,0.5,0.001,0.006,0.018,0.02,0.003,,0,,30,5,44.5,崔恒伟,0.2,1,,,9.5,1143,,0.015,0.005,1831371,0.53,2,27.45,0,2018/3/2,2018/3/2 0:00,5.53,90,,0.877,0.838,0.15,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,1187168.056,486208319,3.196374522
1001A110000000001H8R,0001A11000000000JJN3,42,MD0000000005JQ8B4HIW,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.02,0.01,,,0.5,0.5,0.001,,0.002,0.035,,0,,,630,,44.1,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1121,质量中心,0.018,0.017,1837565,0.51,2,27.12,0,2018/9/16,2018/9/16 0:00,5.55,90,,,0.821,0.06,0,,,0,,1,0,合格,2011417.457,890025813,2.041946758
1001A110000000001H8R,0001A11000000000JJN3,43,MD0000000005JQ8B4MVF,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,3,0.001,,0.5,0.5,0.014,0.008,,,0.5,0.5,0.002,,0.002,0.02,,0,,,134,,49.5,崔恒伟,0.19,1,,S+微量Fe3C+少量P,9.5,1152,质量中心,0.014,0.006,1837908,0.53,2,27.27,0,2018/10/1,2018/10/1 0:00,5.49,90,,,0.829,0.14,0,,,0,,1,27,合格,2038472.06,1074377394,4.046056725
1001A110000000001H8R,0001B21000000004ZBB3,44,MD0000000005JQ8BDM8H,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,4,0.001,,0.5,0.5,0.012,0.011,,,0.5,0.5,0.002,,0.001,0.027,,0,,,1582,,42.3,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1182,质量中心,0.013,0.014,A814051,0.52,2,28.69,,2018/7/23,2018/7/23 0:00,5.56,90,,,0.83,0.16,0,,,0,,1,27,合格,2811373.846,940602110,1.785608555
1001A110000000001H8R,0001A11000000000JJN6,45,MD0000000005JQ8BGC7D,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.004,,0.5,0.5,0.016,0.008,0.042,,0.5,0.5,0.001,0.006,0.018,0.018,0.003,,0,,28,5,42.1,崔恒伟,0.19,1,,,9.5,1100,,0.012,0.006,1831369,0.53,2,26.7,0,2018/3/2,2018/3/2 0:00,5.56,90,,0.84,0.801,0.1,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,1371870.249,710442471,3.779230539
1001A110000000001H8R,1001A1100000000CP7W8,46,MD0000000005JQ8B8K91,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.012,0.011,,,0.5,0.5,0.001,,0.002,0.019,,0,,,820,,52.1,崔恒伟,0.231,1,,S+微量F+少量P,9.5,1031,质量中心,0.009,0.01,1839937,0.54,2,25.04,0,2018/11/28,2018/11/28 0:00,5.56,90,,,0.719,0.18,0,,,0,,1,0,合格,986261.78,562029936,3.964242771
1001A110000000001H8R,0001B21000000004ZBB3,47,MD0000000005JQ8BDVNM,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,16,0.001,,0.5,0.5,0.026,0.016,,,0.5,0.5,0.001,,0.002,0.03,,0,,,730,,48.3,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1207,质量中心,0.02,0.01,A815650,0.53,2,28.22,0,2018/10/10,2018/10/10 0:00,5.45,90,,,0.812,0.11,0,,,0,,1,77,合格,3168204.36,858262594,0.933143934
